district,size_sqm,rooms,year_built,floor,balcony,rooftop_terrace,elevator,energy_class,distance_to_U_Sbahn_m,monthly_rent_eur
Wedding,,1.0,,1.0,1.0,0.0,0.0,7.0,30.0,425.0
Prenzlauer Berg,93.5,2.0,2001.0,3.0,0.0,,1.0,8.0,190.0,1469.0
Lichtenberg,40.2,1.0,2001.0,5.0,0.0,0.0,1.0,2.0,148.0,583.0
Wedding,58.0,1.0,1955.0,0.0,0.0,0.0,0.0,5.0,86.0,660.0
Friedrichshain,51.4,1.0,2018.0,5.0,1.0,0.0,1.0,7.0,,1024.0
Lichtenberg,69.4,2.0,2018.0,1.0,1.0,0.0,1.0,1.0,261.0,1105.0
Wedding,50.3,2.0,1894.0,4.0,0.0,0.0,0.0,5.0,158.0,652.0
Wedding,58.3,2.0,1955.0,2.0,1.0,,0.0,6.0,167.0,694.0
Friedrichshain,59.1,1.0,2001.0,0.0,0.0,0.0,1.0,5.0,166.0,1144.0
Prenzlauer Berg,48.5,1.0,1894.0,4.0,1.0,0.0,0.0,6.0,100.0,733.0
Charlottenburg,78.9,2.0,1955.0,1.0,1.0,0.0,0.0,,656.0,1479.0
Lichtenberg,71.5,1.0,1894.0,5.0,1.0,0.0,0.0,7.0,288.0,767.0
Westend,62.7,1.0,2018.0,5.0,1.0,0.0,1.0,4.0,308.0,1057.0
Wedding,54.7,1.0,1955.0,1.0,0.0,0.0,0.0,7.0,245.0,569.0
Prenzlauer Berg,89.4,2.0,2001.0,4.0,1.0,0.0,1.0,,367.0,1620.0
Mitte,59.1,1.0,1955.0,2.0,1.0,0.0,0.0,2.0,653.0,1076.0
Schöneberg,57.5,2.0,1894.0,3.0,1.0,0.0,0.0,8.0,858.0,856.0
Tiergarten,67.8,2.0,2018.0,3.0,0.0,0.0,1.0,7.0,1002.0,1484.0
Wedding,128.1,4.0,1894.0,1.0,1.0,0.0,1.0,5.0,346.0,1760.0
Westend,38.0,1.0,1894.0,3.0,0.0,0.0,0.0,4.0,160.0,561.0
Wedding,88.4,2.0,1955.0,1.0,0.0,0.0,1.0,6.0,325.0,1054.0
Charlottenburg,30.5,1.0,2001.0,6.0,1.0,0.0,0.0,8.0,523.0,479.0
Lichtenberg,70.9,2.0,1955.0,5.0,0.0,0.0,0.0,4.0,525.0,720.0
Lichtenberg,122.0,3.0,1894.0,0.0,0.0,0.0,0.0,8.0,581.0,1381.0
Wedding,79.0,2.0,1894.0,4.0,1.0,0.0,0.0,5.0,655.0,1064.0
Mitte,69.6,2.0,1894.0,5.0,1.0,0.0,1.0,6.0,273.0,1297.0
Prenzlauer Berg,51.9,1.0,1894.0,0.0,1.0,0.0,1.0,5.0,908.0,853.0
Tiergarten,65.8,2.0,1955.0,4.0,1.0,0.0,0.0,3.0,496.0,1183.0
Friedrichshain,58.8,1.0,1894.0,5.0,,0.0,0.0,8.0,41.0,786.0
Wedding,47.5,1.0,1894.0,1.0,0.0,0.0,1.0,4.0,393.0,614.0
Wedding,57.9,1.0,2001.0,,1.0,0.0,1.0,8.0,394.0,745.0
Lichtenberg,70.4,1.0,2001.0,5.0,1.0,0.0,1.0,3.0,101.0,1144.0
Charlottenburg,47.8,1.0,1894.0,2.0,1.0,0.0,0.0,4.0,389.0,872.0
Charlottenburg,47.1,2.0,,1.0,0.0,0.0,0.0,8.0,448.0,557.0
Prenzlauer Berg,,1.0,1894.0,2.0,1.0,0.0,1.0,6.0,180.0,576.0
Friedrichshain,76.0,2.0,2018.0,2.0,1.0,0.0,1.0,4.0,310.0,1868.0
Friedrichshain,80.8,2.0,1894.0,4.0,1.0,0.0,0.0,6.0,253.0,1278.0
Prenzlauer Berg,71.3,2.0,1894.0,2.0,1.0,0.0,0.0,4.0,728.0,1428.0
Mitte,95.6,2.0,1955.0,2.0,1.0,0.0,0.0,7.0,305.0,1620.0
Westend,67.3,2.0,1894.0,5.0,0.0,0.0,0.0,2.0,878.0,1235.0
Prenzlauer Berg,76.0,2.0,1894.0,3.0,1.0,0.0,1.0,5.0,497.0,1320.0
Wedding,73.4,2.0,1894.0,,0.0,1.0,0.0,2.0,301.0,1122.0
Wedding,62.7,1.0,2001.0,4.0,1.0,0.0,1.0,6.0,475.0,881.0
Charlottenburg,52.6,1.0,2001.0,6.0,0.0,0.0,1.0,8.0,242.0,855.0
Wedding,150.0,3.0,,1.0,1.0,0.0,0.0,7.0,149.0,1825.0
Wedding,54.3,1.0,2001.0,6.0,1.0,1.0,1.0,5.0,338.0,770.0
Prenzlauer Berg,49.8,2.0,1955.0,5.0,1.0,0.0,1.0,4.0,515.0,776.0
Charlottenburg,77.3,2.0,2018.0,0.0,1.0,0.0,1.0,3.0,306.0,1604.0
Wedding,71.9,2.0,2001.0,2.0,1.0,0.0,1.0,7.0,49.0,1024.0
Friedrichshain,37.1,1.0,2001.0,2.0,1.0,0.0,1.0,3.0,1098.0,756.0
Mitte,101.8,2.0,2001.0,2.0,1.0,0.0,1.0,6.0,,1911.0
Tiergarten,62.6,1.0,1955.0,4.0,0.0,0.0,1.0,5.0,247.0,1241.0
Wedding,41.7,1.0,1894.0,4.0,1.0,0.0,0.0,8.0,281.0,525.0
Westend,104.6,2.0,1955.0,1.0,0.0,1.0,0.0,5.0,397.0,1415.0
Wedding,83.5,2.0,1894.0,,1.0,0.0,1.0,5.0,315.0,1172.0
Wedding,39.2,1.0,1955.0,5.0,1.0,0.0,0.0,8.0,843.0,378.0
Prenzlauer Berg,132.3,3.0,1894.0,2.0,1.0,0.0,0.0,8.0,401.0,2025.0
Schöneberg,84.6,2.0,1894.0,5.0,1.0,,1.0,6.0,357.0,1430.0
Friedrichshain,64.7,,2018.0,4.0,1.0,0.0,1.0,7.0,72.0,1105.0
Friedrichshain,122.8,3.0,2001.0,6.0,0.0,0.0,1.0,6.0,69.0,2499.0
Westend,69.3,2.0,1955.0,5.0,0.0,0.0,0.0,5.0,649.0,821.0
Prenzlauer Berg,64.3,2.0,1955.0,0.0,1.0,0.0,0.0,2.0,579.0,1135.0
Schöneberg,49.9,2.0,1955.0,4.0,1.0,0.0,0.0,6.0,,682.0
Wedding,82.0,2.0,2018.0,1.0,1.0,0.0,1.0,6.0,110.0,1226.0
Westend,,2.0,2001.0,5.0,1.0,1.0,1.0,3.0,797.0,1381.0
Schöneberg,65.4,2.0,2001.0,5.0,1.0,0.0,1.0,4.0,118.0,1085.0
Schöneberg,47.4,,1955.0,1.0,1.0,0.0,1.0,6.0,86.0,685.0
Charlottenburg,68.5,1.0,,0.0,1.0,0.0,0.0,3.0,122.0,1127.0
Tiergarten,63.2,1.0,2001.0,2.0,1.0,0.0,0.0,6.0,385.0,1201.0
Prenzlauer Berg,38.1,1.0,2018.0,2.0,0.0,0.0,1.0,6.0,1123.0,635.0
Mitte,36.1,1.0,1955.0,3.0,1.0,0.0,0.0,5.0,177.0,540.0
Prenzlauer Berg,81.5,2.0,1955.0,0.0,1.0,0.0,0.0,4.0,643.0,1222.0
Lichtenberg,23.0,1.0,1955.0,0.0,0.0,0.0,1.0,5.0,312.0,268.0
Mitte,70.6,2.0,1955.0,2.0,0.0,0.0,0.0,5.0,37.0,1061.0
Tiergarten,53.7,1.0,2018.0,5.0,1.0,0.0,1.0,6.0,181.0,1343.0
Charlottenburg,109.7,2.0,2001.0,2.0,1.0,0.0,1.0,6.0,584.0,1906.0
Charlottenburg,,1.0,1955.0,,0.0,0.0,0.0,7.0,562.0,703.0
Westend,84.6,2.0,1955.0,0.0,1.0,0.0,,1.0,160.0,1318.0
Schöneberg,,2.0,1955.0,1.0,1.0,0.0,0.0,6.0,479.0,832.0
Wedding,68.0,1.0,,1.0,1.0,1.0,0.0,5.0,,882.0
Westend,87.3,2.0,1955.0,1.0,1.0,0.0,0.0,7.0,374.0,1147.0
Prenzlauer Berg,54.0,2.0,2001.0,2.0,0.0,0.0,1.0,2.0,668.0,1129.0
Wedding,96.8,2.0,2001.0,1.0,0.0,1.0,1.0,5.0,165.0,1434.0
Friedrichshain,43.7,1.0,1894.0,4.0,0.0,0.0,0.0,5.0,209.0,833.0
Tiergarten,73.1,2.0,2001.0,2.0,0.0,0.0,1.0,5.0,677.0,1543.0
Friedrichshain,,2.0,,5.0,1.0,,1.0,8.0,1046.0,1620.0
Wedding,84.6,2.0,1894.0,3.0,0.0,0.0,1.0,3.0,535.0,1176.0
