district,size_sqm,rooms,year_built,floor,balcony,rooftop_terrace,elevator,energy_class,distance_to_U_Sbahn_m,monthly_rent_eur
Wedding,,1,,1,1,0,0,7,30,425
Prenzlauer Berg,93.5,2,2001,3,0,,1,8,190,1469
Lichtenberg,40.2,1,2001,5,0,0,1,2,148,583
Wedding,58.0,1,1955,0,0,0,0,5,86,660
Friedrichshain,51.4,1,2018,5,1,0,1,7,,1024
Lichtenberg,69.4,2,2018,1,1,0,1,1,261,1105
Wedding,50.3,2,1894,4,0,0,0,5,158,652
Wedding,58.3,2,1955,2,1,,0,6,167,694
Friedrichshain,59.1,1,2001,0,0,0,1,5,166,1144
Prenzlauer Berg,48.5,1,1894,4,1,0,0,6,100,733
Charlottenburg,78.9,2,1955,1,1,0,0,,656,1479
Lichtenberg,71.5,1,1894,5,1,0,0,7,288,767
Westend,62.7,1,2018,5,1,0,1,4,308,1057
Wedding,54.7,1,1955,1,0,0,0,7,245,569
Prenzlauer Berg,89.4,2,2001,4,1,0,1,,367,1620
Mitte,59.1,1,1955,2,1,0,0,2,653,1076
Schöneberg,57.5,2,1894,3,1,0,0,8,858,856
Tiergarten,67.8,2,2018,3,0,0,1,7,1002,1484
Wedding,128.1,4,1894,1,1,0,1,5,346,1760
Westend,38.0,1,1894,3,0,0,0,4,160,561
Wedding,88.4,2,1955,1,0,0,1,6,325,1054
Charlottenburg,30.5,1,2001,6,1,0,0,8,523,479
Lichtenberg,70.9,2,1955,5,0,0,0,4,525,720
Lichtenberg,122.0,3,1894,0,0,0,0,8,581,1381
Wedding,79.0,2,1894,4,1,0,0,5,655,1064
Mitte,69.6,2,1894,5,1,0,1,6,273,1297
Prenzlauer Berg,51.9,1,1894,0,1,0,1,5,908,853
Tiergarten,65.8,2,1955,4,1,0,0,3,496,1183
Friedrichshain,58.8,1,1894,5,,0,0,8,41,786
Wedding,47.5,1,1894,1,0,0,1,4,393,614
Wedding,57.9,1,2001,,1,0,1,8,394,745
Lichtenberg,70.4,1,2001,5,1,0,1,3,101,1144
Charlottenburg,47.8,1,1894,2,1,0,0,4,389,872
Charlottenburg,47.1,2,,1,0,0,0,8,448,557
Prenzlauer Berg,,1,1894,2,1,0,1,6,180,576
Friedrichshain,76.0,2,2018,2,1,0,1,4,310,1868
